County,State,geocode_address,latitude,longitude
Adams,Illinois,,,
Alexander,Illinois,,,
Bond,Illinois,,,
Boone,Illinois,,,
Brown,Illinois,,,
Bureau,Illinois,,,
Calhoun,Illinois,,,
Carroll,Illinois,,,
Cass,Illinois,,,
Champaign,Illinois,,,
Christian,Illinois,,,
Clark,Illinois,,,
Clay,Illinois,,,
Clinton,Illinois,,,
Coles,Illinois,,,
Cook,Illinois,,,
Crawford,Illinois,,,
Cumberland,Illinois,,,
DeKalb,Illinois,,,
De Witt,Illinois,,,
Douglas,Illinois,,,
DuPage,Illinois,,,
Edgar,Illinois,,,
Edwards,Illinois,,,
Effingham,Illinois,,,
Fayette,Illinois,,,
Ford,Illinois,,,
Franklin,Illinois,,,
Fulton,Illinois,,,
Gallatin,Illinois,,,
Greene,Illinois,,,
Grundy,Illinois,,,
Hamilton,Illinois,,,
Hancock,Illinois,,,
Hardin,Illinois,,,
Henderson,Illinois,,,
Henry,Illinois,,,
Iroquois,Illinois,,,
Jackson,Illinois,,,
Jasper,Illinois,,,
Jefferson,Illinois,,,
Jersey,Illinois,,,
Jo Daviess,Illinois,,,
Johnson,Illinois,,,
Kane,Illinois,,,
Kankakee,Illinois,,,
Kendall,Illinois,,,
Knox,Illinois,,,
Lake,Illinois,,,
La Salle,Illinois,,,
Lawrence,Illinois,,,
Lee,Illinois,,,
Livingston,Illinois,,,
Logan,Illinois,,,
McDonough,Illinois,,,
McHenry,Illinois,,,
McLean,Illinois,,,
Macon,Illinois,,,
Macoupin,Illinois,,,
Madison,Illinois,,,
Marion,Illinois,,,
Marshall,Illinois,,,
Mason,Illinois,,,
Massac,Illinois,,,
Menard,Illinois,,,
Mercer,Illinois,,,
Monroe,Illinois,,,
Montgomery,Illinois,,,
Morgan,Illinois,,,
Moultrie,Illinois,,,
Ogle,Illinois,,,
Peoria,Illinois,,,
Perry,Illinois,,,
Piatt,Illinois,,,
Pike,Illinois,,,
Pope,Illinois,,,
Pulaski,Illinois,,,
Putnam,Illinois,,,
Randolph,Illinois,,,
Richland,Illinois,,,
Rock Island,Illinois,,,
St. Clair,Illinois,,,
Saline,Illinois,,,
Sangamon,Illinois,,,
Schuyler,Illinois,,,
Scott,Illinois,,,
Shelby,Illinois,,,
Stark,Illinois,,,
Stephenson,Illinois,,,
Tazewell,Illinois,,,
Union,Illinois,,,
Vermilion,Illinois,,,
Wabash,Illinois,,,
Warren,Illinois,,,
Washington,Illinois,,,
Wayne,Illinois,,,
White,Illinois,,,
Whiteside,Illinois,,,
Will,Illinois,,,
Williamson,Illinois,,,
Winnebago,Illinois,,,
Woodford,Illinois,,,
